season,season_label,team_name,shot_type,shot_made,basic_zone,loc_x,loc_y,shot_distance
2013,2013-14,Los Angeles Clippers,2PT,Made,Restricted Area,-0.7,6.15,1
2013,2013-14,Oklahoma City Thunder,2PT,Missed,Midrange,-18.9,5.35,18
2013,2013-14,Los Angeles Clippers,2PT,Missed,Midrange,12.7,16.85,17
2013,2013-14,Orlando Magic,2PT,Made,Restricted Area,-0.4,5.25,0
2013,2013-14,Denver Nuggets,2PT,Made,Paint (non-RA),-1.2,16.55,11
2013,2013-14,Oklahoma City Thunder,2PT,Missed,Restricted Area,-1.2,5.25,1
2013,2013-14,Indiana Pacers,2PT,Missed,Midrange,-1.3,22.25,17
2013,2013-14,Chicago Bulls,2PT,Missed,Paint (non-RA),-2,8.95,4
2013,2013-14,Dallas Mavericks,2PT,Missed,Paint (non-RA),4,5.85,4
2013,2013-14,Phoenix Suns,2PT,Made,Midrange,-8.6,22.25,19
2013,2013-14,Atlanta Hawks,2PT,Made,Midrange,-18.5,6.45,18
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Restricted Area,0.8,6.95,1
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Midrange,-2.9,22.45,17
2013,2013-14,Los Angeles Clippers,2PT,Made,Midrange,14.2,21.25,21
2013,2013-14,Minnesota Timberwolves,2PT,Missed,Restricted Area,1.3,6.65,1
2013,2013-14,Cleveland Cavaliers,2PT,Made,Paint (non-RA),-5.8,6.35,5
2013,2013-14,Milwaukee Bucks,2PT,Missed,Midrange,-9.9,7.75,10
2013,2013-14,Utah Jazz,2PT,Missed,Midrange,20.7,9.15,21
2013,2013-14,Orlando Magic,2PT,Missed,Paint (non-RA),3.2,10.85,6
2013,2013-14,Denver Nuggets,2PT,Made,Restricted Area,-2.6,7.75,3
2013,2013-14,Brooklyn Nets,2PT,Made,Midrange,11.9,6.95,12
2013,2013-14,Minnesota Timberwolves,2PT,Made,Restricted Area,0.4,3.95,1
2013,2013-14,Utah Jazz,2PT,Missed,Restricted Area,-0.6,5.35,0
2013,2013-14,Sacramento Kings,2PT,Missed,Restricted Area,-0.1,6.45,1
2013,2013-14,Detroit Pistons,2PT,Made,Restricted Area,-0.9,5.05,0
2013,2013-14,Atlanta Hawks,2PT,Made,Restricted Area,-0.7,9.15,3
2013,2013-14,Atlanta Hawks,2PT,Missed,Midrange,20.1,15.65,22
2013,2013-14,Memphis Grizzlies,2PT,Missed,Paint (non-RA),6.5,16.75,13
2013,2013-14,Chicago Bulls,2PT,Missed,Paint (non-RA),-0.1,10.75,5
2013,2013-14,Los Angeles Lakers,2PT,Missed,Restricted Area,1,8.85,3
2013,2013-14,Boston Celtics,2PT,Made,Midrange,-19.3,5.65,19
2013,2013-14,Philadelphia 76ers,2PT,Missed,Paint (non-RA),-0.1,15.35,10
2013,2013-14,New Orleans Hornets,2PT,Missed,Midrange,13.3,21.45,20
2013,2013-14,Houston Rockets,2PT,Made,Restricted Area,-1.3,6.95,2
2013,2013-14,Cleveland Cavaliers,2PT,Made,Paint (non-RA),-1.8,10.05,5
2013,2013-14,Memphis Grizzlies,2PT,Made,Midrange,0.2,24.95,19
2013,2013-14,Charlotte Bobcats,2PT,Made,Midrange,5.9,21.65,17
2013,2013-14,Oklahoma City Thunder,2PT,Missed,Midrange,-15.1,7.85,15
2013,2013-14,Phoenix Suns,2PT,Made,Restricted Area,1.3,5.35,1
2013,2013-14,New Orleans Hornets,2PT,Missed,Restricted Area,-2.6,6.35,2
2013,2013-14,Atlanta Hawks,2PT,Made,Midrange,-13.8,19.75,20
2013,2013-14,Detroit Pistons,2PT,Made,Restricted Area,-0.1,5.35,0
2013,2013-14,Toronto Raptors,2PT,Made,Restricted Area,-0,5.05,0
2013,2013-14,Atlanta Hawks,2PT,Made,Restricted Area,-0,5.05,0
2013,2013-14,Chicago Bulls,2PT,Made,Restricted Area,-0.1,5.25,0
2013,2013-14,Boston Celtics,2PT,Made,Restricted Area,0.5,9.15,3
2013,2013-14,Golden State Warriors,2PT,Missed,Paint (non-RA),-4.8,11.85,8
2013,2013-14,Philadelphia 76ers,2PT,Made,Midrange,16,9.15,16
2013,2013-14,Boston Celtics,2PT,Missed,Restricted Area,-1.3,6.65,1
2013,2013-14,Los Angeles Lakers,2PT,Missed,Restricted Area,-0,7.85,2
2013,2013-14,Orlando Magic,2PT,Made,Restricted Area,0.2,6.45,1
2013,2013-14,Chicago Bulls,2PT,Missed,Paint (non-RA),5.9,6.15,5
2013,2013-14,Washington Wizards,2PT,Made,Restricted Area,0.2,5.25,0
2013,2013-14,Phoenix Suns,2PT,Made,Restricted Area,-0,8.55,3
2013,2013-14,Oklahoma City Thunder,2PT,Missed,Midrange,-15.5,12.35,17
2013,2013-14,Utah Jazz,2PT,Made,Paint (non-RA),1.1,10.45,5
2013,2013-14,Toronto Raptors,2PT,Made,Restricted Area,-1,8.25,3
2013,2013-14,Orlando Magic,2PT,Made,Midrange,12.3,12.75,14
2013,2013-14,Los Angeles Clippers,2PT,Made,Midrange,7.5,21.75,18
2013,2013-14,Detroit Pistons,2PT,Missed,Restricted Area,1,7.25,2
2013,2013-14,Minnesota Timberwolves,2PT,Missed,Restricted Area,-0.4,6.65,1
2013,2013-14,Memphis Grizzlies,2PT,Made,Midrange,2.7,23.65,18
2013,2013-14,Atlanta Hawks,2PT,Made,Paint (non-RA),-1.3,15.35,10
2013,2013-14,Miami Heat,2PT,Missed,Paint (non-RA),-5.1,9.65,6
2013,2013-14,Brooklyn Nets,2PT,Missed,Paint (non-RA),0.7,12.35,7
2013,2013-14,Houston Rockets,2PT,Made,Restricted Area,-0.7,6.15,1
2013,2013-14,Milwaukee Bucks,2PT,Made,Restricted Area,-1.7,4.75,1
2013,2013-14,Minnesota Timberwolves,2PT,Made,Restricted Area,-0.9,5.95,1
2013,2013-14,Utah Jazz,2PT,Missed,Paint (non-RA),-3.6,16.05,11
2013,2013-14,Orlando Magic,2PT,Missed,Midrange,8.9,6.45,8
2013,2013-14,Detroit Pistons,2PT,Missed,Restricted Area,-0,6.95,1
2013,2013-14,Phoenix Suns,2PT,Made,Midrange,-13.2,17.95,18
2013,2013-14,Portland Trail Blazers,2PT,Missed,Restricted Area,0.5,6.15,1
2013,2013-14,Los Angeles Clippers,2PT,Missed,Midrange,-11,20.95,19
2013,2013-14,Denver Nuggets,2PT,Missed,Restricted Area,0.4,7.25,2
2013,2013-14,Brooklyn Nets,2PT,Made,Midrange,-14.6,9.65,15
2013,2013-14,Los Angeles Clippers,2PT,Made,Midrange,14.4,17.65,19
2013,2013-14,Washington Wizards,2PT,Made,Paint (non-RA),6.8,18.65,15
2013,2013-14,Miami Heat,2PT,Missed,Midrange,10,15.95,14
2013,2013-14,Los Angeles Clippers,2PT,Missed,Restricted Area,-0.4,7.45,2
2013,2013-14,New Orleans Hornets,2PT,Missed,Restricted Area,1.1,5.25,1
2013,2013-14,Oklahoma City Thunder,2PT,Missed,Restricted Area,1.8,5.95,1
2013,2013-14,Utah Jazz,2PT,Missed,Restricted Area,0.7,6.45,1
2013,2013-14,Washington Wizards,2PT,Missed,Midrange,20.4,9.45,20
2013,2013-14,Dallas Mavericks,2PT,Missed,Midrange,14.4,11.55,15
2013,2013-14,Washington Wizards,2PT,Missed,Midrange,-7.7,20.35,16
2013,2013-14,Boston Celtics,2PT,Missed,Paint (non-RA),3.7,8.15,4
2013,2013-14,Indiana Pacers,2PT,Made,Paint (non-RA),2.3,8.65,4
2013,2013-14,Utah Jazz,2PT,Made,Restricted Area,-1.5,5.05,1
2013,2013-14,New York Knicks,2PT,Made,Restricted Area,1.3,6.15,1
2013,2013-14,Indiana Pacers,2PT,Missed,Restricted Area,-0.1,5.95,0
2013,2013-14,New York Knicks,2PT,Missed,Midrange,10.3,16.85,15
2013,2013-14,Portland Trail Blazers,2PT,Made,Restricted Area,1.8,7.45,2
2013,2013-14,Phoenix Suns,2PT,Made,Midrange,-11,2.85,11
2013,2013-14,Milwaukee Bucks,2PT,Missed,Restricted Area,-0.1,5.35,0
2013,2013-14,Miami Heat,2PT,Missed,Midrange,13,18.35,18
2013,2013-14,New York Knicks,2PT,Made,Paint (non-RA),4.1,10.05,6
2013,2013-14,Indiana Pacers,2PT,Missed,Restricted Area,3.4,5.85,3
2013,2013-14,Milwaukee Bucks,2PT,Made,Restricted Area,-0.7,5.25,0
2013,2013-14,Utah Jazz,2PT,Made,Restricted Area,-2.1,5.65,2
2013,2013-14,Los Angeles Lakers,2PT,Made,Midrange,-2.1,21.25,16
2013,2013-14,Milwaukee Bucks,2PT,Missed,Midrange,14.7,14.55,17
2013,2013-14,Los Angeles Lakers,2PT,Missed,Paint (non-RA),0.5,9.95,4
2013,2013-14,Charlotte Bobcats,2PT,Made,Restricted Area,-0,5.05,0
2013,2013-14,Chicago Bulls,2PT,Missed,Restricted Area,-2,6.65,2
2013,2013-14,Minnesota Timberwolves,2PT,Made,Restricted Area,0.2,5.85,0
2013,2013-14,Charlotte Bobcats,2PT,Made,Restricted Area,-1.8,5.55,1
2013,2013-14,Brooklyn Nets,2PT,Made,Midrange,16.6,5.55,16
2013,2013-14,Detroit Pistons,2PT,Made,Restricted Area,-0.7,5.25,0
2013,2013-14,Phoenix Suns,2PT,Made,Restricted Area,-2.6,5.65,2
2013,2013-14,Washington Wizards,2PT,Missed,Midrange,8.6,18.15,15
